carname,officialprice,carfuelc,brand,MIITfuelc,displacement,rank,gearbox,cartype,ranking,carstrength,configuration,major,ownerevaluate,price,versions1,versionsp1,versions2,versionsp2
奥迪A6L,40.28-69.48万,7.80-11.90L/100km,奥迪,5.40-10.90L/100km,"['1.8T', '2.0T', '2.4L', '2.5L', '2.7T', '2.8L', '3.0T', '3.2L', '4.2L']",中大型车,"['无级变速', '双离合']",三厢车,该车车实力评分高于73%同级别车系查看详情,82.4,良好,优秀,优秀,一般, 2019款 55 TFSI 运动版,即将上市, 2019款 55 TFSI 基本型,即将上市
雪铁龙C6,18.99-27.99万,7.80-12.20L/100km,雪铁龙,暂无信息,"['1.6T', '1.8T']",中大型车,['手自一体'],三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分55.8,良好,测试中,优秀,优秀, 2017款 改款 380THP 旗舰型,27.99万, 2017款 380THP 豪华型,停售
英菲尼迪Q70L,37.98-52.38万,8.00-12.30L/100km,英菲尼迪,暂无信息,"['2.0T', '2.5L']",中大型车,['手自一体'],三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分53.4,良好,测试中,良好,一般, 2017款 2.5L 豪华版,45.78万, 2017款 2.5L 精英版,37.98万
宝马5系,43.69-65.99万,8.10-12.50L/100km,宝马,7.90-10.80L/100km,"['2.0L', '2.0T', '2.5L', '3.0L', '3.0T']",中大型车,['手自一体'],三厢车,该车车实力评分高于87%同级别车系查看详情,84.8,良好,优秀,良好,良好, 2018款 改款 540Li 行政型,65.99万, 2018款 改款 530Li 领先型 M运动套装,47.69万
奔驰E级,43.58-62.98万,8.10-12.60L/100km,奔驰,8.50-10.40L/100km,"['1.8T', '2.0T', '2.5L', '3.0L', '3.0T', '3.5L']",中大型车,['手自一体'],三厢车,该车车实力评分高于53%同级别车系查看详情,81.0,良好,优秀,优秀,一般, 2019款 E 300 L 豪华型,50.28万, 2018款 改款 E 300 L 运动豪华型,50.28万
传祺GA8,14.98-25.98万,8.40-10.50L/100km,广汽传祺,暂无信息,"['1.8T', '2.0T']",中大型车,['手自一体'],三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分52.9,良好,测试中,一般,良好, 2017款 320T 尊享版,16.68万, 2017款 280T 行政版,18.98万
凯迪拉克CT6,37.97-81.88万,8.40-12.30L/100km,凯迪拉克,暂无信息,"['2.0T', '3.0T']",中大型车,['手自一体'],三厢车,该车车实力评分高于47%同级别车系查看详情,80.7,良好,优秀,良好,一般, 2019款 28T 领先运动型,45.97万, 2019款 28T 铂金版,53.97万
奥迪A7,55.60-87.98万,8.40-12.70L/100km,奥迪,暂无信息,"['1.8T', '2.0T', '2.5L', '2.8L', '3.0T']",中大型车,['双离合'],掀背车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分53.2,良好,测试中,优秀,一般, 2019款 55 TFSI quattro 竞技型,87.98万, 2018款 Sportback quattro S line,未上市
瑞风A60,13.95-22.95万,8.50-10.60L/100km,江淮,暂无信息,['1.5T'],中大型车,['双离合'],三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分53.4,一般,测试中,优秀,良好, 2017款 1.5T 自动豪华型,15.95万, 2017款 1.5T 自动豪华商务型,16.95万
众泰Z700,10.58-16.58万,8.50-10.70L/100km,众泰,暂无信息,['1.8T'],中大型车,"['手动', '双离合']",三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分53.7,一般,测试中,优秀,优秀, 2018款 Z700H 基本型,未上市, 2018款 Z700H 1.8T DCT旗舰型,16.58万
Genesis G80,37.80-64.88万,8.50-15.00L/100km,现代,暂无信息,"['3.0L', '3.3L']",中大型车,['手自一体'],三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分54.6,良好,测试中,优秀,一般, 2017款 5.0 基本型,未上市, 2017款 3.3T Sport,未上市
红旗H7,25.88-32.58万,8.60-11.50L/100km,红旗,暂无信息,"['1.8T', '2.0T', '3.0L']",中大型车,['手自一体'],三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分56.0,良好,测试中,优秀,一般, 2018款 2.0T 精英版,27.58万, 2018款 2.0T 旗舰版,29.58万
辉昂,34.90-65.90万,9.50-11.30L/100km,大众,暂无信息,"['2.0T', '3.0T']",中大型车,['双离合'],三厢车,该车车实力评分高于67%同级别车系查看详情,82.3,良好,优秀,良好,一般, 2018款 改款 380TSI 两驱商务版,34.9万, 2018款 480 V6 四驱豪华版,停售
宝马5系GT,70.10-168.80万,9.50-13.10L/100km,宝马,暂无信息,"['2.0T', '3.0T', '4.0T', '4.4T']",中大型车,['手自一体'],掀背车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分51.7,良好,测试中,良好,较弱, 2017款 528i 领先型,70.1万, 2015款 528i 领先型,停售
宝马6系,87.80-171.80万,9.80-14.80L/100km,宝马,7.70-14.90L/100km,"['3.0L', '3.0T', '4.0T', '4.4T', '4.8L']",中大型车,['手自一体'],软顶敞篷车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分50.3,良好,测试中,良好,较弱, 2017款 Coupe,未上市, 2017款 Convertible,未上市
沃尔沃V90,44.68-59.48万,9.90-11.00L/100km,沃尔沃,暂无信息,['2.0T'],中大型车,['手自一体'],旅行车,该车车实力评分高于80%同级别车系查看详情,83.8,优秀,优秀,优秀,一般, 2019款 Cross Country T5 AWD 智尊版,55.78万, 2018款 Cross Country T5 Volvo Ocean Race,59.48万
林肯大陆,36.88-56.68万,10.00-11.50L/100km,林肯,暂无信息,"['2.0T', '3.0T']",中大型车,['手自一体'],三厢车,该车车实力评分高于33%同级别车系查看详情,80.2,良好,良好,优秀,一般, 2018款 3.0T V6 四驱总统系列,56.68万, 2018款 3.0T V6 四驱尊耀版,52.08万
朗逸两厢,11.29-16.59万,5.90-11.50L/100km,大众,暂无信息,"['1.2T', '1.4T', '1.6L']",紧凑型车,"['手动', '手自一体', '双离合']",两厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分47.5,一般,测试中,较弱,良好, 2018款 280TSI DSG豪华版 国VI,16.59万, 2018款 280TSI DSG豪华版 国V,16.59万
启悦,7.89-12.18万,6.00-9.40L/100km,铃木,暂无信息,['1.6L'],紧凑型车,"['手动', '手自一体']",三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分47.0,较弱,测试中,优秀,优秀, 2018款 1.6L 自动基本型,未上市, 2018款 1.6L 自动Pro版尊享型,10.99万
雷克萨斯CT,21.50-28.20万,6.00-9.40L/100km,雷克萨斯,4.60L/100km,['1.8L'],紧凑型车,[],两厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分49.8,一般,测试中,优秀,一般, 2017款 CT200h 舒适版 双色,25.4万, 2017款 CT200h 舒适版 单色,25.2万
宝来,10.78-15.98万,6.00-9.60L/100km,大众,5.20-9.80L/100km,"['1.4T', '1.5L', '1.6L', '1.8L', '2.0L']",紧凑型车,"['手动', '手自一体', '双离合']",三厢车,该车车实力评分高于68%同级别车系查看详情,71.3,一般,良好,良好,优秀, 2019款 280TSI DSG豪华型,15.98万, 2019款 280TSI DSG精英型,15.08万
昕锐,7.69-10.99万,6.00-10.00L/100km,斯柯达,暂无信息,"['1.4L', '1.5L', '1.6L']",紧凑型车,"['手动', '自动']",三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分41.5,较弱,测试中,良好,一般, 2018款 1.6L 自动舒适版,10.59万, 2018款 1.4L 手动标准版,7.69万
科鲁兹,10.99-16.99万,6.00-10.10L/100km,雪佛兰,5.90-7.80L/100km,"['1.4T', '1.5L', '1.6L', '1.6T', '1.8L']",紧凑型车,"['手动', '手自一体', '双离合']",掀背车,该车车实力评分高于54%同级别车系查看详情,70.1,较弱,良好,优秀,良好, 2018款 改款 320 自动先锋版,12.49万, 2018款 两厢 330T 双离合领锋版,16.99万
启辰R50,6.98-8.88万,6.10-7.70L/100km,东风启辰,暂无信息,['1.6L'],紧凑型车,"['手动', '自动']",两厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分42.0,较弱,测试中,良好,优秀, 2016款 1.6L 自动精英版,8.23万, 2015款 1.6L 自动豪华版,8.58万
昌河A6,6.98-9.98万,6.10-8.10L/100km,昌河,暂无信息,['1.5L'],紧凑型车,"['手动', '无级变速']",三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分45.1,较弱,测试中,一般,一般, 2018款 1.5L 自动尊贵版,9.98万, 2018款 1.5L 手动豪华版,7.58万
科沃兹,7.99-11.49万,6.10-9.70L/100km,雪佛兰,暂无信息,"['1.0T', '1.5L']",紧凑型车,"['手动', '手自一体', '双离合']",三厢车,该车车实力评分高于8%同级别车系查看详情,62.8,较弱,良好,优秀,一般, 2019款 325T 双离合欣悦版,10.49万, 2019款 320 自动欣悦版,9.99万
威朗,13.59-18.59万,6.10-10.30L/100km,别克,暂无信息,"['1.5L', '1.5T']",紧凑型车,"['手动', '手自一体', '双离合']",两厢车,该车车实力评分高于56%同级别车系查看详情,70.2,一般,良好,良好,一般, 2018款 两厢GS 20T 双离合豪华型,18.59万, 2018款 两厢 15S 自动进取型,13.59万
标致408,11.97-16.97万,6.10-10.40L/100km,标致,7.70-8.40L/100km,"['1.2T', '1.6L', '1.6T', '1.8L', '2.0L']",紧凑型车,"['手动', '手自一体']",三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分46.7,较弱,测试中,优秀,一般, 2019款 350THP 自动豪华版,14.97万, 2019款 350THP 自动至尊版,16.97万
领动,9.98-15.18万,6.10-11.00L/100km,现代,暂无信息,"['1.4T', '1.6L']",紧凑型车,"['手动', '手自一体', '双离合']",三厢车,该车车实力评分高于22%同级别车系查看详情,65.8,较弱,良好,良好,一般, 2016款 1.6L 自动 智炫青春型,11.18万, 2016款 1.6L 自动 智炫豪华型,13.38万
桑塔纳,8.49-12.38万,6.10-13.00L/100km,大众,暂无信息,"['1.4L', '1.4T', '1.5L', '1.6L']",紧凑型车,"['手动', '自动']",三厢车,该车车实力评分高于7%同级别车系查看详情,62.1,较弱,良好,一般,一般, 2018款 1.5L 自动风尚版,9.99万, 2016款 1.6L 自动豪华版,12.38万
V cross,7.39-9.79万,6.20-8.20L/100km,东南,暂无信息,"['1.5L', '1.5T']",紧凑型车,"['手动', '无级变速']",两厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分40.6,较弱,测试中,较弱,一般, 2015款 1.5T 手动智控型,9.79万, 2015款 1.5L 手动智尊型,7.39万
卡罗拉,10.78-14.38万,6.20-8.30L/100km,丰田,6.70-7.60L/100km,"['1.2T', '1.6L', '1.8L', '2.0L']",紧凑型车,"['手动', '无级变速']",三厢车,该车车实力评分高于58%同级别车系查看详情,70.2,较弱,优秀,一般,良好, 2019款 1.2T 基本型,未上市, 2018款 1.2T GL-i CVT 智辉版,13.68万
启辰D50,6.98-8.58万,6.20-8.80L/100km,东风启辰,6.40-7.20L/100km,['1.6L'],紧凑型车,"['手动', '自动']",三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分41.2,较弱,测试中,良好,优秀, 2016款 1.6L 自动精英版,8.23万, 2015款 1.6L 自动豪华版,8.58万
桑塔纳・浩纳,8.99-13.89万,6.20-9.10L/100km,大众,暂无信息,"['1.4L', '1.4T', '1.5L', '1.6L']",紧凑型车,"['手动', '自动', '双离合']",两厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分43.9,较弱,测试中,良好,良好, 2017款 1.6L 自动风尚版,10.79万, 2017款 1.6L 自动豪华版,12.69万
景逸S50,6.59-15.18万,6.20-11.00L/100km,东风风行,暂无信息,"['1.5L', '1.6L', '2.0L']",紧凑型车,"['手动', '无级变速']",三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分45.0,较弱,测试中,良好,一般, 2017款 2.0L 手动尊享型,8.79万, 2017款 1.6L CVT豪华型,8.29万
远景,5.39-7.29万,6.30-7.40L/100km,吉利汽车,6.00-7.20L/100km,"['1.3T', '1.5L', '1.8L']",紧凑型车,"['手动', '手自一体']",三厢车,该车车实力评分高于27%同级别车系查看详情,66.0,较弱,良好,较弱,良好, 2018款 1.5L 自动幸福型,6.89万, 2018款 1.5L 自动尊贵型,7.29万
启辰R50X,7.45-9.28万,6.30-7.90L/100km,东风启辰,暂无信息,['1.6L'],紧凑型车,"['手动', '自动']",两厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分41.9,较弱,测试中,良好,优秀, 2015款 1.6L 自动豪华版,8.98万, 2015款 1.6L 自动潮流版,8.35万
迈锐宝XL,17.99-24.99万,7.60-12.40L/100km,雪佛兰,暂无信息,"['1.5T', '2.5L']",中型车,"['手自一体', '双离合']",三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分52.0,一般,测试中,优秀,一般, 2019款 基本型,即将上市, 2018款 530T 自动锐驰版,19.49万
起亚K4,12.88-18.88万,7.70-9.00L/100km,起亚,暂无信息,"['1.6T', '1.8L', '2.0L']",中型车,"['手动', '手自一体', '双离合']",三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分49.4,较弱,测试中,优秀,优秀, 2017款 1.8L 自动GLS Special,14.98万, 2017款 1.6T 自动T-PRM,17.98万
力帆820,7.68-11.98万,7.70-9.60L/100km,力帆,暂无信息,"['1.8L', '2.4L']",中型车,"['手动', '手自一体']",三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分47.5,较弱,测试中,良好,良好, 2015款 2.4L 自动豪华型,10.98万, 2015款 2.4L 自动旗舰型,11.98万
帕萨特,18.99-30.39万,7.70-12.00L/100km,大众,6.10-11.90L/100km,"['1.4T', '1.8T', '2.0L', '2.0T', '3.0L']",中型车,['双离合'],三厢车,该车车实力评分高于88%同级别车系查看详情,81.2,良好,优秀,优秀,良好, 2019款 380TSI 豪华版 国VI,25.39万, 2019款 380TSI 尊贵版 国VI,26.89万
沃尔沃V60,28.99-58.99万,7.80-10.70L/100km,沃尔沃,10.20L/100km,"['2.0T', '2.5T', '3.0T']",中型车,['手自一体'],两厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分51.7,良好,测试中,良好,一般, 2019款 Cross Country T5,未上市, 2018款 T8 Inscription,未上市
比亚迪G6,7.98-11.58万,7.90-9.40L/100km,比亚迪,暂无信息,"['1.5T', '2.0L']",中型车,"['手动', '双离合']",三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分48.4,较弱,测试中,优秀,良好, 2013款 1.5T 自动 尊荣型,11.58万, 2013款 1.5T 手动 尊贵型,9.98万
蒙迪欧,17.98-27.98万,7.90-11.50L/100km,福特,6.00-8.50L/100km,"['1.5T', '2.0L', '2.0T', '2.5L']",中型车,['手自一体'],三厢车,该车车实力评分高于75%同级别车系查看详情,79.6,良好,优秀,优秀,一般, 2018款 EcoBoost 245 智控旗舰型,27.98万, 2018款 EcoBoost 200 豪华型,22.68万
迈锐宝,16.49-18.99万,8.00-9.90L/100km,雪佛兰,8.00-8.30L/100km,"['1.5T', '1.6T', '2.0L', '2.4L']",中型车,['手自一体'],三厢车,该车车实力评分高于13%同级别车系查看详情,73.5,较弱,良好,优秀,优秀, 2018款 530T 自动豪华版,17.99万, 2018款 530T 自动舒适版,16.49万
奔驰C级(进口),35.88-53.88万,8.00-10.20L/100km,奔驰,7.50-20.00L/100km,"['1.6T', '1.8T', '2.0T', '3.0L']",中型车,['手自一体'],硬顶跑车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分50.3,良好,测试中,良好,较弱, 2019款 C 300 轿跑车,46.98万, 2019款 C 300 旅行轿车,53.88万
阿特兹,17.58-23.78万,8.00-10.20L/100km,马自达,暂无信息,"['2.0L', '2.5L']",中型车,['手自一体'],三厢车,该车车实力评分高于92%同级别车系查看详情,81.6,良好,优秀,优秀,优秀, 2018款 2.5L 蓝天运动版,19.98万, 2018款 2.5L 蓝天至尊版,23.78万
奔腾B70,10.48-15.08万,8.00-11.00L/100km,奔腾,6.00-6.40L/100km,"['1.8L', '1.8T', '2.0L', '2.3L']",中型车,"['手动', '手自一体']",三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分47.9,一般,测试中,良好,良好, 2018款 1.8T 自动轿跑版互联智享型,12.28万, 2016款 2.0L 自动豪华型,停售
奔驰C级,31.08-48.68万,8.00-11.50L/100km,奔驰,7.70-10.10L/100km,"['1.5T', '1.6T', '1.8T', '2.0T', '2.5L', '3.0L']",中型车,['手自一体'],三厢车,该车车实力评分高于67%同级别车系查看详情,79.3,良好,优秀,良好,一般, 2019款 C 300 L 运动版,48.68万, 2019款 C 260 运动版,31.88万
蔚揽,25.08-40.28万,8.10-11.30L/100km,大众,暂无信息,"['1.4T', '2.0T']",中型车,['双离合'],旅行车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分51.3,良好,测试中,良好,较弱, 2018款 380TSI 两驱舒行版,27.88万, 2018款 380TSI 两驱畅行版,32.18万
宝马3系GT,36.98-46.98万,8.10-11.60L/100km,宝马,暂无信息,"['2.0T', '3.0T']",中型车,['手自一体'],掀背车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分50.7,良好,测试中,优秀,较弱, 2019款 320i 时尚型,36.98万, 2018款 320i 时尚型,36.98万
雅阁,16.98-22.98万,8.20-13.00L/100km,本田,6.20-9.90L/100km,"['1.5T', '2.0L', '2.4L', '3.0L', '3.5L']",中型车,['无级变速'],三厢车,该车车实力评分高于58%同级别车系查看详情,78.0,一般,优秀,良好,优秀, 2018款 260TURBO CVT豪华版,19.98万, 2018款 260TURBO CVT旗舰版,22.98万
红旗H5,14.98-19.58万,8.30-10.50L/100km,红旗,暂无信息,['1.8T'],中型车,['手自一体'],三厢车,该车车实力评分高于38%同级别车系查看详情,76.0,良好,良好,优秀,一般, 2018款 30TD 智联韵动版,17.58万, 2018款 30TD 智联御动版,19.58万
凯美瑞,17.98-25.98万,8.30-13.20L/100km,丰田,5.30-8.40L/100km,"['2.0L', '2.4L', '2.5L']",中型车,['手自一体'],三厢车,该车车实力评分高于83%同级别车系查看详情,80.3,一般,优秀,良好,良好, 2018款 2.5S 锋尚版,22.28万, 2018款 2.5Q 旗舰版,25.98万
博瑞,11.98-17.98万,8.40-10.90L/100km,吉利汽车,暂无信息,"['1.8T', '2.4L', '3.5L']",中型车,['手自一体'],三厢车,该车车实力评分高于33%同级别车系查看详情,75.8,一般,良好,优秀,优秀, 2018款 1.8T 尊尚智领型,15.48万, 2017款 2.4L 尊尚型,13.88万
奔腾B90,14.58-20.18万,8.50-12.30L/100km,奔腾,暂无信息,"['1.8T', '2.0L', '2.0T', '2.3L']",中型车,['手自一体'],三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分49.0,一般,测试中,一般,一般, 2016款 1.8T 自动尊贵型 十周年纪念版,17.78万, 2015款 2.0T 自动旗舰型,20.18万
英菲尼迪Q50L,26.98-39.98万,8.50-12.40L/100km,英菲尼迪,暂无信息,['2.0T'],中型车,['手自一体'],三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分52.0,良好,测试中,良好,一般, 2018款 2.0T 逸享版,29.98万, 2018款 2.0T 进享版,30.98万
理念S1,6.78-9.98万,6.20-8.90L/100km,理念,6.10-6.90L/100km,"['1.3L', '1.5L']",小型车,"['手动', '自动']",三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分38.6,较弱,测试中,一般,良好, 2014款 1.3L 自动舒适型,7.78万, 2014款 1.3L 手动舒适型,6.78万
凯翼C3,4.58-6.08万,6.30-7.70L/100km,凯翼,暂无信息,['1.5L'],小型车,"['手动', '自动']",三厢车,该车暂未被列入榜单，暂无排名信息查看详情,非总得分39.4,较弱,测试中,优秀,一般, 2015款 1.5L 手动黄钻版 ,4.88万, 2015款 1.5L 手动金钻版 ,5.18万
大众Polo,7.59-14.69万,6.30-9.90L/100km,大众,4.60-8.30L/100km,"['1.4L', '1.4T', '1.5L', '1.6L']",小型车,"['手动', '自动', '手自一体', '双离合']",三厢车,该车车实力评分高于80%同级别车系查看详情,67.4,较弱,良好,一般,良好, 2018款 1.5L 自动安驾版,9.19万, 2018款 1.5L 自动安享版,10.39万
